table,variable,plot_type,ylog,xangle,yangle,exclude,clip
Household,HhSize,histogram,identity,0,0,0,
Household,Age0to14,histogram,identity,0,0,0,
Household,Age15to19,histogram,identity,0,0,0,
Household,Age20to29,histogram,identity,0,0,0,
Household,Age30to54,histogram,identity,0,0,0,
Household,Age55to64,histogram,identity,0,0,0,
Household,Age65Plus,histogram,identity,0,0,0,
Household,Wkr15to19,bar,identity,0,0,0,
Household,Wkr20to29,histogram,identity,0,0,0,
Household,Wkr30to54,histogram,identity,0,0,0,
Household,Wkr55to64,bar,identity,0,0,0,
Household,Wkr65Plus,bar,identity,0,0,0,
Household,Workers,histogram,identity,0,0,0,
Household,Income,histogram,identity,0,0,0,
Household,IsUrbanMixNbrhd,bar,identity,0,0,0,
Household,FreeParkingSpaces,histogram,identity,0,0,0,
Household,ParkingUnitCost,bar,identity,0,0,0,
Household,OtherParkingCost,histogram,identity,0,0,0,
Household,IsIMP,bar,identity,0,0,0,
Household,PropTdmDvmtReduction,bar,identity,0,0,0,
Household,Drv15to19,histogram,identity,0,0,0,
Household,Drv20to29,histogram,identity,0,0,0,
Household,Drv30to54,histogram,identity,0,0,0,
Household,Drv55to64,histogram,identity,0,0,0,
Household,Drv65Plus,histogram,identity,0,0,0,
Household,Drivers,histogram,identity,0,0,0,
Household,DrvAgePersons,histogram,identity,0,0,0,
Household,Vehicles,histogram,identity,0,0,0,
Household,NumLtTrk,histogram,identity,0,0,0,
Household,NumAuto,histogram,identity,0,0,0,
Household,HasPaydIns,histogram,identity,0,0,0,
Household,OwnCostSavings,bar,identity,0,0,0,
Household,OwnCost,histogram,identity,0,0,0,
Household,NumHighCarSvc,bar,identity,0,0,0,
Household,Dvmt,histogram,identity,0,0,0,
Household,WalkTrips,histogram,identity,0,0,0,
Household,BikeTrips,histogram,identity,0,0,0,
Household,TransitTrips,histogram,identity,0,0,0,
Household,VehicleTrips,histogram,identity,0,0,0,
Household,AveVehTripLen,histogram,identity,0,0,0,
Household,PropDvmtDiverted,histogram,identity,0,0,0,
Household,AveTrpLenDiverted,histogram,identity,0,0,0,
Household,SovDvmtProp,histogram,identity,0,0,0,
Household,UrbanDvmtProp,histogram,identity,0,0,0,
Household,IsEcoDrive,histogram,identity,0,0,0,
Household,AveVehCostPM,histogram,identity,0,0,0,
Household,AveSocEnvCostPM,histogram,identity,0,0,0,
Household,AveRoadUseTaxPM,histogram,identity,0,0,0,
Household,AveGPM,histogram,identity,0,0,0,
